Name,AREA,AnydoTag,Archivos multimedia,BLOQUE,C-TEXT,Fórmula,ID,Nombre,Rollup,TITULO,Tags,URL
"C399-MUS (https://www.notion.so/C399-MUS-124622cf315b807e9a22df7e6ef171b3?pvs=21) ",https://www.notion.so/2e8622cf315b801f9cf7f1a31343e567,,,@B39-DES  (https://www.notion.so/2e8622cf315b803f8363d1876ddae4fd?pvs=21),,@@C399-MUS,,,,,,
"C398-MEN (https://www.notion.so/C398-MEN-124622cf315b80638b9ccd98faa54bb1?pvs=21) ",https://www.notion.so/2e8622cf315b801f9cf7f1a31343e567,,,@B39-DES  (https://www.notion.so/2e8622cf315b803f8363d1876ddae4fd?pvs=21),,@@C398-MEN,,,,,,
"C397-FIS (https://www.notion.so/C397-FIS-124622cf315b8039aceeed84ca0fd4b6?pvs=21) ",https://www.notion.so/2e8622cf315b801f9cf7f1a31343e567,,,@B39-DES  (https://www.notion.so/2e8622cf315b803f8363d1876ddae4fd?pvs=21),,@@C397-FIS,,,,,,
"C390 (https://www.notion.so/C390-2a5622cf315b818ba8a9d8c506b7efd1?pvs=21) ",https://www.notion.so/2e8622cf315b801f9cf7f1a31343e567,,,@B39-DES  (https://www.notion.so/2e8622cf315b803f8363d1876ddae4fd?pvs=21),,@@C390,,,,,,
"C387 (https://www.notion.so/C387-2a5622cf315b812e9d1ccdea1a1156ce?pvs=21) ",https://www.notion.so/2e8622cf315b801f9cf7f1a31343e567,,,@B38-TEC  (https://www.notion.so/2e8622cf315b804c8bc1f03071ab697d?pvs=21),,@@C387,,,,,,
"C384-INF (https://www.notion.so/C384-INF-124622cf315b80ed8076e8943a8decf4?pvs=21) ",https://www.notion.so/2e8622cf315b801f9cf7f1a31343e567,,,@B38-TEC  (https://www.notion.so/2e8622cf315b804c8bc1f03071ab697d?pvs=21),,@@C384-INF,,,,,,
"C386-IAA (https://www.notion.so/C386-IAA-124622cf315b80a1807df290f42ac3ff?pvs=21) ",https://www.notion.so/2e8622cf315b801f9cf7f1a31343e567,,,@B38-TEC  (https://www.notion.so/2e8622cf315b804c8bc1f03071ab697d?pvs=21),,@@C386-IAA,,,,,,
"C380 (https://www.notion.so/C380-2a5622cf315b8173a23ef6e47fcfd79b?pvs=21) ",https://www.notion.so/2e8622cf315b801f9cf7f1a31343e567,,,@B38-TEC  (https://www.notion.so/2e8622cf315b804c8bc1f03071ab697d?pvs=21),,@@C380,,,,,,
"C373-SOC (https://www.notion.so/C373-SOC-124622cf315b80d3beeef36e7dc4d300?pvs=21) ",https://www.notion.so/2e8622cf315b801f9cf7f1a31343e567,,,@B37-ORG  (https://www.notion.so/2e8622cf315b8093a233eb3c685dd8d4?pvs=21),,@@C373-SOC,,,,,,
"C372-PER (https://www.notion.so/C372-PER-124622cf315b80af8d08c5de7afabf71?pvs=21) ",https://www.notion.so/2e8622cf315b801f9cf7f1a31343e567,,,@B37-ORG  (https://www.notion.so/2e8622cf315b8093a233eb3c685dd8d4?pvs=21),,@@C372-PER,,,,,,
"C371-ADM (https://www.notion.so/C371-ADM-124622cf315b800191f6d7f5f1f6da6e?pvs=21) ",https://www.notion.so/2e8622cf315b801f9cf7f1a31343e567,,,@B37-ORG  (https://www.notion.so/2e8622cf315b8093a233eb3c685dd8d4?pvs=21),,@@C371-ADM,,,,,,
